
LIST OF PLATES.
		Plate.	Fig.	Page.
	VOL. I.			
	TURDIDÆ.			
	Catharus griseiceps …	I.	2	6
	Catharus gracilirostris …	I.	1	6
	Catharus mexicanus …	II.	1	6
	Catharus dryas …	II.	2	7
	Turdus flavirostris …	III.	1	21
	Turdus nigrescens …	IV.	. .	25
	Melanoptila glabrirostris …	III.	2	27
	SYLVIIDÆ.			
	Polioptila albiloris, ♂ …	V.	1	53
	Polioptila albiloris, ♀ …	V.	2	53
	TROGLODYTIDÆ.			
	Microcerculus philomela …	V.	3	76
	Microcerculus luscinia …	V.	4	77
	Thryophilus thoracicus …	VI.	1, 2	86
	Thryophilus semibadius …	VI.	3	88
	Thryothorus atrigularis …	VI.	4	91
	Thryothorus felix …	VII.	1	93
	Thryothorus albinucha …	VII.	2	94
	Cistothorus polyglottus* …	VII.	3	105
	MNIOTILTIDÆ.			
	Parula inornata …	VIII.	1	120
	Parula superciliosa …	VIII.	2	122
	Parula gutturalis …	VIII.	3	123
	Dendrœca decora …	X.	1	136
	Geothlypis chiriquensis …	IX.	1	152
	Geothlypis caninucha …	IX.	2	153
	Geothlypis poliocephala …	IX.	3	154
	Ergaticus versicolor …	XI.	1	165
	Basileuterus melanogenys …	X.	3	174
	Setophaga torquata …	X.	2	183
	Setophaga lacrymosa …	XI.	2	184
	VIREONIDÆ.			
	Vireo ochraceus …	XII.	1	201
	Vireo pallens …	XII.	2	202
	Vireo carmioli …	XII.	3	203
	Neochloe brevipennis …	XIII.	2	205
	Hylophilus viridiflavus …	XIII.	1	208
	AMPELIDÆ.			
	Phainoptila melanoxantha …	XIV.	. .	221
	HIRUNDINIDÆ.			
	Atticora pileata …	XV.	2	230
	Tachycineta albilinea† …	XV.	1	235
	CŒREBIDÆ.			
	Diglossa plumbea, ♂ …	XV. a.	1	243
	Diglossa plumbea, ♀ …	XV. a.	2	243
	Dacnis viguieri …	XV. a.	3	246
	Certhiola caboti …	XV. a.	4	251
	TANAGRIDÆ.			
	Euphonia gracilis …	XVI.	3	259
	Euphonia luteicapilla …	XVI.	1	260
	Euphonia fulvicrissa …	XVI.	2	264
	Calliste florida …	XVII.	1	267
	Rhamphocœlus passerinii …	XVIII.	1	281
	Rhamphocœlus uropygialis …	XVIII.	2	284
	Pyranga testacea, ♂ …	XIX.	1	292
	Pyranga testacea, ♀ …	XIX.	2	292
	Pyranga erythrocephala …	XVII.	2	294
	Chlorothraupis carmioli‡ …	XX.	1	299
	Eucometis spodocephala …	XX.	2	307
	Tachyphonus chrysomelas …	XXI.	1	311
	Tachyphonus nitidissimus, ♂ …	XXI.	2	312
	Tachyphonus nitidissimus, ♀ …	XXI.	3	312
	Chlorospingus punctulatus …	XXII.	1	316
	Chlorospingus pileatus …	XXII.	2	316
	Chlorospingus hypophæus …	XXII.	3	317
	Buarremon capitalis …	XXIII.	1	322
	Buarremon tibialis …	XXIII.	2	322
	Pitylus celæno …	XXIV.	. .	332
* Cistothorus elegans on the Plate.
† Hirundo albilinea on the Plate.
‡ Phœnicothraupis carmioli on the Plate.
